STATE,YEAR,DISORDER,MALE_DEATHS,FEMALE_DEATHS,POPULATION,POPN_PERCENTAGE,,zscore male,zscore female,zscore popn
MEGHALAYA,2018,OTHERS,0,4,2966889,0.245082073,,-0.406330746,-1.98611E-07,-0.738538314
MIZORAM,2018,OTHERS,0,0,1097206,0.090635518,,-0.406330746,-3.41191E-07,-0.776935379
NAGALAND,2018,OTHERS,0,0,1978502,0.163435629,,-0.406330746,-3.41191E-07,-0.758836493
ODISHA,2018,OTHERS,91,51,41974219,3.467311581,,1.194955351,1.47671E-06,0.062542399
PUDUCHERRY,2018,OTHERS,1,1,1247953,0.103088086,,-0.388734196,-3.05546E-07,-0.773839538
PUNJAB,2018,OTHERS,1,2,27743338,2.291759071,,-0.388734196,-2.69901E-07,-0.229712526
RAJASTHAN,2018,OTHERS,5,1,68548437,5.662494625,,-0.318347994,-3.05546E-07,0.608288379
SIKKIM,2018,OTHERS,0,1,610577,0.050437167,,-0.406330746,-3.05546E-07,-0.786929119
TAMIL NADU,2018,OTHERS,144,124,72147030,5.959759076,,2.127572528,4.0788E-06,0.6821915
TELANGANA,2018,OTHERS,48,20,35002674,2.891421921,,0.438303678,3.71711E-07,-0.080629929
TRIPURA,2018,OTHERS,37,23,3673917,0.303486646,,0.244741623,4.78646E-07,-0.724018313
UTTAR PRADESH,2018,OTHERS,35,27,10086292,0.833185653,,0.209548522,6.21227E-07,-0.592329475
WEST BENGAL,2018,OTHERS,20,18,91276115,7.539931371,,-0.054399736,3.00421E-07,1.075039231
ANDHRA PRADESH,2019,SCHIZOPHRENIA,2,0,53903393,3.930651269,,-0.371137645,-3.41191E-07,0.307527924
ANDAMAN & NICOBAR ,2019,SCHIZOPHRENIA,0,0,417036,0.030410388,,-0.406330746,-3.41191E-07,-0.790903807
ARUNACHAL PRADESH,2019,SCHIZOPHRENIA,0,0,1570458,0.114518259,,-0.406330746,-3.41191E-07,-0.767216359
ASSAM,2019,SCHIZOPHRENIA,0,0,35607039,2.596475755,,-0.406330746,-3.41191E-07,-0.068218283
BIHAR,2019,SCHIZOPHRENIA,2,0,124799926,9.100447304,,-0.371137645,-3.41191E-07,1.763506717
CHANDIGARH,2019,SCHIZOPHRENIA,3,0,1158473,0.084476192,,-0.353541095,-3.41191E-07,-0.775677159
CHHATTISGARH,2019,SCHIZOPHRENIA,3,3,29436231,2.146498621,,-0.353541095,-2.34256E-07,-0.194946139
DELHI,2019,SCHIZOPHRENIA,4,5,18710922,1.364405935,,-0.335944544,-1.62966E-07,-0.415208284
DAMAN & DIU,2019,SCHIZOPHRENIA,0,0,615724,0.044898775,,-0.406330746,-3.41191E-07,-0.786823417
GOA,2019,SCHIZOPHRENIA,1,2,1586250,0.115669816,,-0.388734196,-2.69901E-07,-0.766892044
GUJARAT,2019,SCHIZOPHRENIA,1,0,63872399,4.657594118,,-0.388734196,-3.41191E-07,0.512258123
HARYANA,2019,SCHIZOPHRENIA,0,0,28204692,2.056694435,,-0.406330746,-3.41191E-07,-0.22023785
HIMACHAL PRADESH,2019,SCHIZOPHRENIA,0,0,7451955,0.54339875,,-0.406330746,-3.41191E-07,-0.646429988
JHARKHAND,2019,SCHIZOPHRENIA,0,0,38593948,2.814282038,,-0.406330746,-3.41191E-07,-0.006877115
KARNATAKA,2019,SCHIZOPHRENIA,7,7,67562686,4.926690931,,-0.283154893,-9.16755E-08,0.588044334
KERALA,2019,SCHIZOPHRENIA,1,2,35699443,2.603213882,,-0.388734196,-2.69901E-07,-0.066320613
LAKSHADWEEP,2019,SCHIZOPHRENIA,0,0,73183,0.005336526,,-0.406330746,-3.41191E-07,-0.797965403
MADHYA PRADESH,2019,SCHIZOPHRENIA,0,0,85358965,6.224400829,,-0.406330746,-3.41191E-07,0.953520666
MAHARASTRA,2019,SCHIZOPHRENIA,9,17,123144223,8.979712954,,-0.247961792,2.64776E-07,1.729504089
MANIPUR,2019,SCHIZOPHRENIA,0,0,3091545,0.225436371,,-0.406330746,-3.41191E-07,-0.735978295
MEGHALAYA,2019,SCHIZOPHRENIA,0,0,3366710,0.245501483,,-0.406330746,-3.41191E-07,-0.730327322
MIZORAM,2019,SCHIZOPHRENIA,0,0,1239244,0.090366037,,-0.406330746,-3.41191E-07,-0.774018392
NAGALAND,2019,SCHIZOPHRENIA,0,0,2249695,0.164048421,,-0.406330746,-3.41191E-07,-0.753267092
ODISHA,2019,SCHIZOPHRENIA,0,1,46356334,3.380317507,,-0.406330746,-3.05546E-07,0.152536454
PUDUCHERRY,2019,SCHIZOPHRENIA,2,0,1413542,0.103075898,,-0.371137645,-3.41191E-07,-0.770438891
PUNJAB,2019,SCHIZOPHRENIA,5,0,30141373,2.197917783,,-0.318347994,-3.41191E-07,-0.180464869
RAJASTHAN,2019,SCHIZOPHRENIA,2,0,81032689,5.908927511,,-0.371137645,-3.41191E-07,0.864673358
SIKKIM,2019,SCHIZOPHRENIA,0,0,690251,0.050333306,,-0.406330746,-3.41191E-07,-0.785292881
TAMIL NADU,2019,SCHIZOPHRENIA,8,11,77841267,5.676208081,,-0.265558342,5.0905E-08,0.799132174
TELANGANA,2019,SCHIZOPHRENIA,7,1,39362732,2.870341993,,-0.283154893,-3.05546E-07,0.008911149
TRIPURA,2019,SCHIZOPHRENIA,0,2,4169794,0.304062605,,-0.406330746,-2.69901E-07,-0.71383465
UTTARAKHAND,2019,SCHIZOPHRENIA,0,1,1125858,0.082097896,,-0.406330746,-3.05546E-07,-0.776346963
WEST BENGAL,2019,SCHIZOPHRENIA,1,7,99609303,7.263539667,,-0.388734196,-9.16755E-08,1.246175173
ANDHRA PRADESH,2020,SCHIZOPHRENIA,11,2,53206421,3.93949323,,-0.212768691,-2.69901E-07,0.293214439
ANDAMAN & NICOBAR ,2020,SCHIZOPHRENIA,0,0,379944,0.028131695,,-0.406330746,-3.41191E-07,-0.791665553
ARUNACHAL PRADESH,2020,SCHIZOPHRENIA,0,0,1382611,0.102370852,,-0.406330746,-3.41191E-07,-0.771074111
ASSAM,2020,SCHIZOPHRENIA,0,0,31169272,2.307825517,,-0.406330746,-3.41191E-07,-0.159355245
BIHAR,2020,SCHIZOPHRENIA,5,3,138864915,10.28179273,,-0.318347994,-2.34256E-07,2.052354773
